Target ,East 2,North 2,Height 2
B1.1,NULL,NULL,NULL
B5.91X,NULL,NULL,NULL
B1.94,NULL,NULL,NULL
B1.91,528860.091,179187.495,12.096
B1.92,528856.395,179189.666,12.088
B1.93,528852.492,179191.925,12.092
B3.2,528853.925,179191.09,19.318
B3.9,528858.016,179188.714,19.327
B3.91,528861.595,179186.683,19.01
SO1.1,528800.752,179213.288,12.379
SO1.2,528809.728,179207.539,12.479
SO1.3,528821.241,179201.371,12.528
SO1.4,528841.084,179189.809,12.674
SO1.5,528851.522,179183.745,12.613
SO1.6,528865.478,179175.651,12.424
SO3.1N,528799.641,179214.013,18.8
SO3.2N,528809.692,179207.634,18.923
SO3.3N,528820.117,179202.102,18.79
SO3.4,528841.045,179189.892,19.104
SO3.5,528851.479,179183.837,19.102
SO3.6,528865.449,179175.731,19.056
SO5.4,528840.968,179190.02,25.894
SO5.5,528851.435,179183.934,25.993
SO5.6,528864.801,179176.17,26.33
E1.1,528871.844,179180.207,12.467
E1.2,528877.898,179194.947,12.471
E3.1,528871.762,179180.156,19.005
E3.2,528877.809,179194.891,18.984
W1.1,528799.717,179228.902,12.357
W1.2,528796.032,179220.176,12.346
W3.1,528799.792,179228.958,18.933
W3.2,528796.097,179220.233,18.804
N2.1,528872.583,179199.021,16.632
N2.2,528872.557,179199.067,13.675
W1.3,528806.95,179229.071,12.031
W3.3,528806.894,179229.05,17.452
W5.3,528806.888,179229.046,22.56
HO12,528808.151,179246.489,18.691
HO13,528808.152,179246.5,15.647
HO14,528808.189,179246.612,13.341
HO15,528804.962,179239.129,18.694
HO16,528804.942,179239.099,15.694
HO17,528804.973,179239.185,12.599
HO23,528804.009,179236.9,22.211
HO24,528804.003,179236.901,17.092
HO25,528804,179236.912,11.921
HO27,NULL,NULL,NULL
HO26,528811.367,179233.658,22.228
HO28,528811.481,179233.604,11.98
HO29,NULL,NULL,NULL
HO30,NULL,NULL,NULL
HO31,NULL,NULL,NULL
HO32,528804.023,179236.891,19.755
HO33,528803.987,179236.871,15.032
HO34,528804.502,179236.689,9.611
HO35,528807.245,179235.345,19.444
HO36,528807.183,179235.376,16.085
HO37,528807.097,179235.419,11.669
HO38,528808.334,179234.999,24.104
HO39,528809.242,179234.593,22.903
HO40,528809.474,179234.49,19.516
HO41,528809.139,179234.56,16.915
HO42,528811.379,179233.641,17.091
HO43,528807.914,179235.179,9.149
HO1.1,NULL,NULL,NULL
HO1.2,NULL,NULL,NULL
G00R,528833.153,179235.063,7.844
G00L,528826.33,179234.181,10.032
G02L,528820.861,179231.225,18.716
G03L,528820.844,179231.177,21.784
G01R,NULL,NULL,NULL
G03R,528822.597,179235.269,18.802
G04R,528822.621,179235.285,21.779
G03RX,528823.427,179237.182,18.807
G00ST,NULL,NULL,NULL
G24,528804.003,179236.902,17.093
G08X,528827.752,179247.156,18.726
G04X,528827.754,179247.167,21.768
G4X,528827.364,179246.261,21.644
G10X,528826.01,179241.483,15.849
G07X,528825.092,179241.018,18.968
G22X,528825.783,179242.592,21.718
G09X,528821.702,179233.205,15.691
G06X,NULL,NULL,NULL
G21,528821.699,179233.149,21.783
P01,528881.29,179191.151,5.215
P02,528878.499,179184.336,5.36
P03,528869.081,179172.822,5.875
P04,528857.454,179173.903,5.923
P06,528829.886,179189.862,6.243
P07,528818.217,179198.11,6.469
P08,528807.18,179203.077,6.516
P09,528789.792,179217.619,6.683
P10,528799.593,179231.725,6.853
P11,528783.337,179220.924,6.788
P12,528793.279,179246.18,6.98
P13,528799.168,179263.693,7.401
P14,528810.198,179258.513,7.083
P15,528800.513,179240.731,6.892
P16,528808.756,179233.725,6.156
P17,528803.843,179230.879,6.35
P23,528883.327,179199.999,5.063
P24,528891.843,179217.643,5.027
P25,528906.473,179217.366,4.942
P26,528897.086,179192.844,4.959
P27,528887.318,179173.629,4.998
P28,528857.658,179159.848,5.627
P29,528829.074,179176.555,6.118
P30,528804.62,179190.835,6.412
P31,528789.474,179199.633,6.674
