Target ,East 2,North 2,Height 2
B1.1,528867.757,179189.494,11.215
B5.91X,528862.903,179185.868,25.982
B1.94,528839.587,179199.5,14.801
B1.91,528860.094,179187.494,12.097
B1.92,528856.399,179189.669,12.087
B1.93,528852.495,179191.931,12.09
B3.2,528853.933,179191.088,19.324
B3.9,528858.021,179188.722,19.328
B3.91,528861.599,179186.683,19.012
B27.3,528822.251,179209.908,17.451
B27.1,528831.173,179204.389,11.063
SH011,528872.213,179199.171,7.894
B1.1,528867.753,179189.494,11.214
H14 ,528865.116,179185.016,26.542
B1.95,528807.686,179218.046,12.395
B3.95,528812.919,179215.052,19.46
B5.95,528807.281,179218.308,26.982
B5.92,528854.94,179190.528,26.316
B5.99,528821.439,179210.44,26.452
NO1.1,528811.535,179215.791,12.307
NO1.2,528845.565,179195.927,11.001
NO3.1,528811.691,179215.72,19.166
NO3.2,528845.278,179196.115,16.455
NO5.1,528810.226,179216.613,26.018
NO5.2,528840.087,179199.188,26.127
B2,528869.148,179191.754,20.571
B7,528806.921,179228.116,13.055
B8,528807.34,179229.035,21.359
B9,528807.119,179227.582,24.771
SO1.1,528800.757,179213.29,12.379
SO1.11,528804.42,179210.63,12.566
SO1.2,528809.736,179207.549,12.477
SO1.22,528816.016,179204.432,12.478
SO1.3,528821.253,179201.381,12.527
SO1.4,528841.089,179189.818,12.67
SO1.5,528851.525,179183.749,12.611
SO1.6,528865.483,179175.649,12.424
SO3.1N,528799.646,179214.015,18.8
SO3.11,528804.396,179210.654,18.083
SO3.2N,528809.703,179207.64,18.92
SO3.22,528814.505,179205.407,18.338
SO3.3N,528820.129,179202.108,18.789
SO3.4,528841.051,179189.905,19.101
SO3.5,528851.482,179183.842,19.1
SO3.6,528865.451,179175.725,19.058
SO5.1,528802.197,179212.12,27.068
SO5.11,528805.847,179209.992,27.344
SO5.2,528810.894,179207.082,27.062
SO5.22,528813.534,179205.466,24.777
SO5.3,528818.125,179203.199,27.39
SO5.33,528824.854,179198.953,27.142
SO5.4,528840.976,179190.044,25.889
SO5.5,528851.438,179183.942,25.992
SO5.6,528864.808,179176.161,26.33
E1.1,528871.845,179180.208,12.468
E1.2,528877.897,179194.95,12.47
E3.1,528871.765,179180.156,19.006
E3.2,528877.807,179194.887,18.983
W1.1,528799.715,179228.897,12.355
W1.2,528796.029,179220.173,12.345
W3.1,528799.792,179228.953,18.931
W3.2,528796.095,179220.229,18.801
N2.1,528872.582,179199.024,16.629
N2.2,528872.557,179199.069,13.672
W1.3,528806.953,179229.067,12.041
W3.3,528806.9,179229.045,17.457
W5.3,528806.892,179229.041,22.56
HO12,528808.155,179246.483,18.691
HO13,528808.156,179246.494,15.646
HO14,528808.194,179246.607,13.341
HO15,528804.96,179239.125,18.691
HO16,528804.943,179239.092,15.692
HO17,528804.974,179239.178,12.598
HO23,528804.008,179236.894,22.21
HO24,528804.003,179236.899,17.09
HO25,528804.001,179236.91,11.919
HO28,528811.481,179233.598,11.979
HO32,528804.023,179236.888,19.753
HO33,528803.988,179236.87,15.03
HO34,528804.502,179236.688,9.609
HO35,528807.245,179235.341,19.442
HO36,528807.176,179235.374,16.081
HO37,528807.1,179235.417,11.669
HO38,528808.333,179234.995,24.1
HO39,528809.242,179234.591,22.901
HO40,528809.47,179234.488,19.513
HO41,528809.139,179234.552,16.915
HO42,528811.383,179233.637,17.092
HO43,528807.913,179235.178,9.146
HO1.1,528820.687,179229.492,13.615
HO1.2,528819.89,179229.837,25.286
G00R,NULL,NULL,NULL
G00L,NULL,NULL,NULL
G02L,NULL,NULL,NULL
G03L,NULL,NULL,NULL
G03R,NULL,NULL,NULL
G04R,NULL,NULL,NULL
G03RX,NULL,NULL,NULL
G08X,NULL,NULL,NULL
G04X,NULL,NULL,NULL
G4X,NULL,NULL,NULL
G10X,NULL,NULL,NULL
G07X,NULL,NULL,NULL
G22X,NULL,NULL,NULL
G09X,NULL,NULL,NULL
G21,NULL,NULL,NULL
G11X,NULL,NULL,NULL
P01,528881.282,179191.157,5.211
P02,528878.494,179184.339,5.359
P03,528869.084,179172.832,5.879
P04,528857.449,179173.906,5.924
P06,528829.883,179189.871,6.244
P07,528818.217,179198.11,6.469
P08,528807.179,179203.075,6.516
P09,528789.791,179217.614,6.681
P10,528799.599,179231.725,6.849
P11,528783.337,179220.924,6.788
P12,528793.283,179246.189,6.976
P13,528799.168,179263.693,7.401
P14,528810.2,179258.513,7.083
P15,528800.525,179240.731,6.885
P16,528808.756,179233.725,6.156
P17,528803.843,179230.88,6.35
P23,528883.329,179199.991,5.059
P24,528891.843,179217.643,5.027
P25,528906.471,179217.366,4.942
P26,528897.086,179192.844,4.959
P27,528887.318,179173.629,4.998
P28,528857.66,179159.848,5.627
P29,528829.074,179176.555,6.118
P30,528804.62,179190.835,6.412
P31,528789.474,179199.633,6.673
P09X,528787.435,179215.397,6.845
P10X,528798.468,179233.288,6.783
P03X,528869.08,179172.836,5.882
P27X,528886.494,179171.01,5.16
PG1.1,528880.195,179202.306,10.088
PG1.2,528874.895,179204.733,10.09
PG 2.1,528880.191,179202.31,13.741
PG2.2,528874.855,179204.747,13.914
